,,,Abra,Abra, Abra , Abra ,Arbok,Arbok, Arbok , Arbok ,Diglett Media,Diglett Media, Diglett Media , Diglett Media ,Ivysaur,Ivysaur, Ivysaur , Ivysaur ,Onix,Onix, Onix , Onix ,Snorlax,Snorlax, Snorlax , Snorlax ,Snorlax Tagless,Snorlax Tagless, Snorlax Tagless , Snorlax Tagless ,SPEAROW,SPEAROW, SPEAROW , SPEAROW 
Mth,Date,Site,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue 
1,1/6/2016,EasyBib,483340,0, $ 952.16 , $ -   ,909582,0," $ 1,002.33 ", $ -   ,0,0, $ -   , $ -   ,469448,0," $ 1,078.40 ", $ -   ,1660693,0," $ 2,567.45 ", $ -   ,367956,0, $ 581.34 , $ -   ,0,0, $ -   , $ -   ,822910,819209," $ 2,264.50 "," $ 2,348.08 "
1,1/7/2016,BibMe,107870,0, $ 228.70 , $ -   ,76058,0, $ 173.11 , $ -   ,0,0, $ -   , $ -   ,55908,0, $ 156.64 , $ -   ,192483,0, $ 348.66 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/7/2016,CitationMachine,481816,0, $ 966.65 , $ -   ,715903,0," $ 1,216.65 ", $ -   ,0,0, $ -   , $ -   ,321342,0, $ 881.14 , $ -   ,1742819,0," $ 3,000.29 ", $ -   ,463695,0, $ 786.71 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/7/2016,EasyBib,609174,0," $ 1,222.37 ", $ -   ,1220964,0," $ 1,262.91 ", $ -   ,0,0, $ -   , $ -   ,625931,0," $ 1,517.67 ", $ -   ,2069104,0," $ 3,491.73 ", $ -   ,400499,0, $ 688.30 , $ -   ,0,0, $ -   , $ -   ,736064,737427," $ 2,627.91 "," $ 2,818.49 "
1,1/8/2016,BibMe,83071,0, $ 198.71 , $ -   ,65296,0, $ 147.91 , $ -   ,0,0, $ -   , $ -   ,42949,0, $ 118.85 , $ -   ,169103,0, $ 303.55 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/8/2016,CitationMachine,385448,0, $ 890.24 , $ -   ,522153,0, $ 882.51 , $ -   ,0,0, $ -   , $ -   ,238267,0, $ 653.25 , $ -   ,1477876,0," $ 2,562.47 ", $ -   ,336854,0, $ 609.40 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/8/2016,EasyBib,455345,0," $ 1,142.84 ", $ -   ,801668,0, $ 836.95 , $ -   ,0,0, $ -   , $ -   ,408709,0, $ 948.66 , $ -   ,1611407,0," $ 2,619.22 ", $ -   ,272075,0, $ 504.60 , $ -   ,0,0, $ -   , $ -   ,789274,715037," $ 2,277.50 "," $ 2,054.38 "
1,1/9/2016,BibMe,58082,0, $ 130.78 , $ -   ,51174,0, $ 118.96 , $ -   ,0,0, $ -   , $ -   ,34469,0, $ 100.34 , $ -   ,112653,0, $ 236.28 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/9/2016,CitationMachine,257358,0, $ 608.66 , $ -   ,327496,0, $ 590.82 , $ -   ,0,0, $ -   , $ -   ,156839,0, $ 496.61 , $ -   ,838396,0," $ 1,659.22 ", $ -   ,300687,0, $ 605.76 , $ -   ,0,0, $ -   , $ -   ,0,0, $ -   , $ -   
1,1/9/2016,EasyBib,178093,0, $ 418.53 , $ -   ,289627,0, $ 360.26 , $ -   ,0,0, $ -   , $ -   ,186410,0, $ 501.52 , $ -   ,572171,0," $ 1,111.18 ", $ -   ,151053,0, $ 285.60 , $ -   ,0,0, $ -   , $ -   ,339251,336954," $ 1,069.15 "," $ 1,117.20 "
