,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue 
Date,SUM of Abra_1,SUM of Abra_2,SUM of  Abra_3 ,SUM of  Abra_4 ,SUM of Arbok_1,SUM of Arbok_2,SUM of  Arbok_3 ,SUM of  Arbok_4 ,SUM of Diglett Media_1,SUM of Diglett Media_2,SUM of  Diglett Media_3 ,SUM of  Diglett Media_4 ,SUM of Ivysaur_1,SUM of Ivysaur_2,SUM of  Ivysaur_3 ,SUM of  Ivysaur_4 ,SUM of Onix_1,SUM of Onix_2,SUM of  Onix_3 ,SUM of  Onix_4 ,SUM of Snorlax_1,SUM of Snorlax_2,SUM of  Snorlax_3 ,SUM of  Snorlax_4 ,SUM of SPEAROW_1,SUM of SPEAROW_2,SUM of  SPEAROW_3 ,SUM of  SPEAROW_4 
1/17/2016,1070509,0," $ 2,573.58 ", $ -   ,1666583,0," $ 2,365.51 ", $ -   ,0,0, $ -   , $ -   ,833583,0," $ 2,496.99 ", $ -   ,3424000,0," $ 7,477.59 ", $ -   ,883649,0," $ 1,781.60 ", $ -   ,914446,912306," $ 2,288.62 "," $ 2,403.52 "
1/18/2016,1488575,0," $ 3,142.47 ", $ -   ,2332245,0," $ 2,904.52 ", $ -   ,0,0, $ -   , $ -   ,1227906,0," $ 3,492.37 ", $ -   ,4983475,0," $ 9,320.25 ", $ -   ,1151090,0," $ 2,101.31 ", $ -   ,1549638,1577154," $ 3,820.33 "," $ 4,046.50 "
1/19/2016,1934882,0," $ 4,540.18 ", $ -   ,2789652,0," $ 3,429.23 ", $ -   ,0,0, $ -   , $ -   ,1320464,0," $ 3,945.35 ", $ -   ,6308708,0," $ 11,732.46 ", $ -   ,1400384,0," $ 2,504.46 ", $ -   ,1773628,1703943," $ 4,397.81 "," $ 4,457.71 "
1/20/2016,1678397,0," $ 3,778.15 ", $ -   ,1908076,0," $ 2,351.64 ", $ -   ,0,0, $ -   , $ -   ,1385113,0," $ 4,094.56 ", $ -   ,6138170,0," $ 11,323.82 ", $ -   ,921533,0," $ 1,724.41 ", $ -   ,2024571,1995265," $ 4,822.43 "," $ 4,934.81 "
1/21/2016,1639814,0," $ 3,680.63 ", $ -   ,2427732,0," $ 2,944.47 ", $ -   ,0,0, $ -   , $ -   ,1460298,0," $ 4,144.65 ", $ -   ,5447739,0," $ 9,862.34 ", $ -   ,658352,0," $ 1,136.15 ", $ -   ,2528797,2422592," $ 5,890.80 "," $ 5,917.22 "
1/22/2016,1277634,0," $ 3,095.35 ", $ -   ,2341859,0," $ 3,125.97 ", $ -   ,0,0, $ -   , $ -   ,1035866,0," $ 3,066.10 ", $ -   ,3744792,0," $ 7,259.85 ", $ -   ,446805,0, $ 781.09 , $ -   ,1797219,1548821," $ 4,178.77 "," $ 3,722.78 "
1/23/2016,958031,0," $ 2,490.41 ", $ -   ,1474766,0," $ 2,453.95 ", $ -   ,0,0, $ -   , $ -   ,801638,0," $ 2,365.10 ", $ -   ,2352246,0," $ 5,314.21 ", $ -   ,177175,0, $ 381.29 , $ -   ,1172834,1125641," $ 2,848.92 "," $ 2,880.29 "
1/24/2016,1830368,0," $ 4,622.98 ", $ -   ,3055186,0," $ 4,822.47 ", $ -   ,0,0, $ -   , $ -   ,1541756,0," $ 4,561.51 ", $ -   ,5060016,0," $ 11,057.40 ", $ -   ,406070,0, $ 820.49 , $ -   ,2478801,2523185," $ 5,982.96 "," $ 6,423.38 "
1/25/2016,1948097,0," $ 4,644.05 ", $ -   ,3396733,0," $ 4,650.18 ", $ -   ,0,0, $ -   , $ -   ,1465222,0," $ 4,222.62 ", $ -   ,5986336,0," $ 11,746.96 ", $ -   ,602261,0," $ 1,126.82 ", $ -   ,2837641,2742492," $ 6,705.97 "," $ 6,779.22 "
1/26/2016,2101960,0," $ 5,049.83 ", $ -   ,3379813,0," $ 4,620.53 ", $ -   ,0,0, $ -   , $ -   ,1448685,0," $ 4,128.75 ", $ -   ,6228067,0," $ 12,060.36 ", $ -   ,630862,0," $ 1,163.21 ", $ -   ,2849150,2725382," $ 6,528.63 "," $ 6,477.60 "
1/27/2016,2437806,0," $ 5,792.80 ", $ -   ,3614439,0," $ 5,110.04 ", $ -   ,0,0, $ -   , $ -   ,1635949,0," $ 4,734.36 ", $ -   ,7250937,0," $ 14,289.62 ", $ -   ,742846,0," $ 1,395.18 ", $ -   ,2961661,2843553," $ 7,088.16 "," $ 7,087.08 "
1/28/2016,2638874,0," $ 6,396.22 ", $ -   ,3541238,0," $ 4,967.22 ", $ -   ,0,0, $ -   , $ -   ,1660570,0," $ 4,789.77 ", $ -   ,7840392,0," $ 15,102.41 ", $ -   ,743663,0," $ 1,376.86 ", $ -   ,3075194,2984476," $ 6,965.18 "," $ 6,952.47 "
1/29/2016,1827354,0," $ 4,612.50 ", $ -   ,2475977,0," $ 3,623.48 ", $ -   ,0,0, $ -   , $ -   ,1264478,0," $ 3,625.97 ", $ -   ,5795017,0," $ 11,169.04 ", $ -   ,505756,0, $ 931.49 , $ -   ,2260646,1999085," $ 5,169.09 "," $ 4,671.33 "
1/30/2016,994362,0," $ 2,584.81 ", $ -   ,1590001,0," $ 2,858.70 ", $ -   ,0,0, $ -   , $ -   ,855718,0," $ 2,642.37 ", $ -   ,3342676,0," $ 7,855.09 ", $ -   ,183493,0, $ 430.65 , $ -   ,1475985,1413629," $ 3,555.43 "," $ 3,530.09 "
1/31/2016,2095802,0," $ 4,821.58 ", $ -   ,3547359,0," $ 5,673.24 ", $ -   ,0,0, $ -   , $ -   ,1973480,0," $ 5,887.94 ", $ -   ,7263297,0," $ 15,303.39 ", $ -   ,460079,0, $ 942.79 , $ -   ,3264749,3335674," $ 7,671.65 "," $ 8,219.40 "
2/1/2016,2227683,0," $ 5,123.97 ", $ -   ,2907150,0," $ 4,304.16 ", $ -   ,0,0, $ -   , $ -   ,1695927,0," $ 4,954.92 ", $ -   ,7571866,0," $ 13,710.69 ", $ -   ,625529,0," $ 1,049.37 ", $ -   ,2930660,2744164," $ 6,740.53 "," $ 6,515.06 "
2/2/2016,1954734,0," $ 4,629.44 ", $ -   ,2585474,0," $ 4,105.93 ", $ -   ,0,0, $ -   , $ -   ,1829573,0," $ 5,429.27 ", $ -   ,7625155,0," $ 13,979.87 ", $ -   ,244240,0, $ 389.25 , $ -   ,2610384,2469770," $ 5,554.92 "," $ 5,399.61 "
2/3/2016,2204407,0," $ 5,368.14 ", $ -   ,2487025,0," $ 3,976.12 ", $ -   ,0,0, $ -   , $ -   ,1865376,0," $ 5,532.95 ", $ -   ,8444456,0," $ 15,383.93 ", $ -   ,0,0, $ -   , $ -   ,3428103,3294981," $ 6,963.96 "," $ 6,434.68 "
2/4/2016,2381698,0," $ 5,592.82 ", $ -   ,3351970,0," $ 5,209.86 ", $ -   ,0,0, $ -   , $ -   ,1831026,0," $ 5,447.00 ", $ -   ,8965275,0," $ 16,221.17 ", $ -   ,243842,0," $ 4,283.90 ", $ -   ,3104434,2919474," $ 6,080.07 "," $ 6,034.40 "
2/5/2016,1715661,0," $ 4,299.14 ", $ -   ,2628992,0," $ 4,481.94 ", $ -   ,0,0, $ -   , $ -   ,1552292,0," $ 7,585.40 ", $ -   ,6686318,0," $ 13,493.36 ", $ -   ,18767,0, $ 290.69 , $ -   ,1778399,1555540," $ 3,928.73 "," $ 3,510.17 "
2/6/2016,1046580,0," $ 2,888.50 ", $ -   ,2024698,0," $ 4,125.33 ", $ -   ,0,0, $ -   , $ -   ,988130,0," $ 3,232.86 ", $ -   ,3360871,0," $ 8,177.11 ", $ -   ,0,0, $ -   , $ -   ,991653,957541," $ 2,255.58 "," $ 2,246.17 "
2/7/2016,1922548,0," $ 5,036.12 ", $ -   ,4000065,0," $ 7,661.51 ", $ -   ,0,0, $ -   , $ -   ,1956619,0," $ 6,209.21 ", $ -   ,6513316,0," $ 14,866.95 ", $ -   ,0,0, $ -   , $ -   ,2104937,2208755," $ 4,618.04 "," $ 5,075.74 "
2/8/2016,2538050,0," $ 5,893.84 ", $ -   ,3672963,0," $ 6,013.47 ", $ -   ,0,0, $ -   , $ -   ,2071534,0," $ 6,372.84 ", $ -   ,7752074,0," $ 15,189.45 ", $ -   ,0,0, $ -   , $ -   ,3115245,2823054," $ 12,365.46 "," $ 6,191.82 "
2/9/2016,2251590,0," $ 5,554.25 ", $ -   ,3846812,0," $ 6,532.72 ", $ -   ,0,0, $ -   , $ -   ,2284572,0," $ 6,918.47 ", $ -   ,6564427,0," $ 13,476.05 ", $ -   ,0,0, $ -   , $ -   ,3719967,2582282," $ 8,395.96 "," $ 5,544.59 "
2/10/2016,2164372,0," $ 5,212.72 ", $ -   ,4136967,0," $ 7,131.45 ", $ -   ,0,0, $ -   , $ -   ,2448866,0," $ 7,439.12 ", $ -   ,7302233,0," $ 14,406.94 ", $ -   ,29125,0, $ 559.60 , $ -   ,5228796,4404738," $ 11,928.28 "," $ 10,291.84 "
2/11/2016,2191367,0," $ 5,573.65 ", $ -   ,3809612,0," $ 6,636.03 ", $ -   ,0,0, $ -   , $ -   ,1771353,0," $ 5,491.11 ", $ -   ,6971816,0," $ 13,760.75 ", $ -   ,38969,0, $ 475.13 , $ -   ,4769222,4412828," $ 10,583.79 "," $ 10,059.64 "
