,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue ,DFP Imp,Paid Impression, DFP Revenue , Ad Revenue 
Date,SUM of Abra_1,SUM of Abra_2,SUM of  Abra_3 ,SUM of  Abra_4 ,SUM of Arbok_1,SUM of Arbok_2,SUM of  Arbok_3 ,SUM of  Arbok_4 ,SUM of Diglett Media_1,SUM of Diglett Media_2,SUM of  Diglett Media_3 ,SUM of  Diglett Media_4 ,SUM of Ivysaur_1,SUM of Ivysaur_2,SUM of  Ivysaur_3 ,SUM of  Ivysaur_4 ,SUM of Onix_1,SUM of Onix_2,SUM of  Onix_3 ,SUM of  Onix_4 ,SUM of Snorlax_1,SUM of Snorlax_2,SUM of  Snorlax_3 ,SUM of  Snorlax_4 ,SUM of SPEAROW_1,SUM of SPEAROW_2,SUM of  SPEAROW_3 ,SUM of  SPEAROW_4 
3/8/2016,4124294,0," $ 11,060.82 ", $ -   ,3748084,0," $ 8,201.60 ", $ -   ,0,0, $ -   , $ -   ,2854658,0," $ 7,330.87 ", $ -   ,6680877,0," $ 16,855.36 ", $ -   ,2081609,0," $ 3,726.86 ", $ -   ,8402733,7881881," $ 22,828.10 "," $ 23,258.23 "
3/9/2016,4400089,0," $ 11,821.21 ", $ -   ,4389077,0," $ 9,788.46 ", $ -   ,0,0, $ -   , $ -   ,2440902,0," $ 6,145.36 ", $ -   ,7368625,0," $ 17,782.73 ", $ -   ,2195648,0," $ 3,902.09 ", $ -   ,10500163,9483072," $ 29,848.73 "," $ 29,498.81 "
3/10/2016,4490763,0," $ 12,600.71 ", $ -   ,4132355,0," $ 9,140.26 ", $ -   ,0,0, $ -   , $ -   ,2404880,0," $ 5,704.13 ", $ -   ,8275602,0," $ 19,952.09 ", $ -   ,1669653,0," $ 3,012.85 ", $ -   ,10843866,9449264," $ 29,691.38 "," $ 27,914.73 "
3/11/2016,3034166,0," $ 8,192.31 ", $ -   ,2982376,0," $ 7,236.70 ", $ -   ,0,0, $ -   , $ -   ,1935752,0," $ 4,658.84 ", $ -   ,4801844,0," $ 13,301.34 ", $ -   ,709165,0," $ 1,388.19 ", $ -   ,6672497,5856009," $ 18,497.78 "," $ 17,412.81 "
3/12/2016,1849399,0," $ 5,452.94 ", $ -   ,1985539,0," $ 5,345.80 ", $ -   ,0,0, $ -   , $ -   ,850069,0," $ 2,490.52 ", $ -   ,2566569,0," $ 7,793.47 ", $ -   ,345531,0, $ 842.67 , $ -   ,3439125,3246587," $ 9,483.91 "," $ 9,541.63 "
3/13/2016,3109466,0," $ 8,564.83 ", $ -   ,4645243,0," $ 12,151.44 ", $ -   ,0,0, $ -   , $ -   ,2110463,0," $ 5,938.74 ", $ -   ,5321574,0," $ 15,383.33 ", $ -   ,889807,0," $ 1,810.62 ", $ -   ,7050483,7654647," $ 18,890.19 "," $ 21,778.47 "
3/14/2016,3649424,0," $ 9,389.26 ", $ -   ,4308786,0," $ 10,794.69 ", $ -   ,0,0, $ -   , $ -   ,3181938,0," $ 7,820.79 ", $ -   ,6716461,0," $ 16,540.37 ", $ -   ,1741507,0," $ 2,964.05 ", $ -   ,9070807,8485023," $ 21,561.21 "," $ 20,937.39 "
3/15/2016,3784226,0," $ 9,673.18 ", $ -   ,3459327,0," $ 9,003.36 ", $ -   ,0,0, $ -   , $ -   ,3545992,0," $ 8,548.96 ", $ -   ,6227131,0," $ 15,979.28 ", $ -   ,2153219,0," $ 4,050.59 ", $ -   ,9090429,8546603," $ 23,599.24 "," $ 23,650.82 "
3/16/2016,3590141,0," $ 9,244.92 ", $ -   ,3296033,0," $ 8,584.71 ", $ -   ,0,0, $ -   , $ -   ,3848544,0," $ 9,577.15 ", $ -   ,6671995,0," $ 18,703.07 ", $ -   ,2169574,0," $ 4,666.83 ", $ -   ,10726727,10252132," $ 31,981.86 "," $ 31,992.49 "
3/17/2016,3298623,0," $ 9,383.31 ", $ -   ,3480819,0," $ 9,081.18 ", $ -   ,0,0, $ -   , $ -   ,3638780,0," $ 9,617.25 ", $ -   ,6205803,0," $ 18,508.93 ", $ -   ,2135704,0," $ 4,605.40 ", $ -   ,11783107,10957882," $ 40,487.19 "," $ 39,355.20 "
3/18/2016,2442638,0," $ 7,245.21 ", $ -   ,2479485,0," $ 6,523.24 ", $ -   ,0,0, $ -   , $ -   ,2398596,0," $ 6,165.66 ", $ -   ,4259872,0," $ 12,334.21 ", $ -   ,1421288,0," $ 3,272.95 ", $ -   ,8404283,7406885," $ 29,921.35 "," $ 27,090.56 "
3/19/2016,1549096,0," $ 4,489.75 ", $ -   ,1735491,0," $ 4,622.35 ", $ -   ,0,0, $ -   , $ -   ,852889,0," $ 2,707.48 ", $ -   ,2521338,0," $ 7,987.28 ", $ -   ,851853,0," $ 2,256.73 ", $ -   ,4530899,4177920," $ 15,315.10 "," $ 14,548.02 "
3/20/2016,2874339,0," $ 7,860.29 ", $ -   ,4079568,0," $ 10,631.99 ", $ -   ,0,0, $ -   , $ -   ,2156385,0," $ 5,975.19 ", $ -   ,5427136,0," $ 15,628.68 ", $ -   ,1833679,0," $ 4,250.90 ", $ -   ,9232611,9202587," $ 29,758.76 "," $ 31,122.16 "
3/21/2016,3533705,0," $ 10,083.13 ", $ -   ,4409629,0," $ 11,262.28 ", $ -   ,0,0, $ -   , $ -   ,2995807,0," $ 7,303.70 ", $ -   ,6665797,0," $ 17,543.32 ", $ -   ,1562983,0," $ 3,269.13 ", $ -   ,10465854,9675647," $ 30,397.22 "," $ 29,176.94 "
3/22/2016,3488764,0," $ 9,938.04 ", $ -   ,4581720,0," $ 11,831.06 ", $ -   ,0,0, $ -   , $ -   ,3057442,0," $ 7,564.85 ", $ -   ,6640663,0," $ 16,220.84 ", $ -   ,1045012,0," $ 2,115.66 ", $ -   ,9682526,9162585," $ 28,498.93 "," $ 28,426.84 "
3/23/2016,4471316,0," $ 12,781.73 ", $ -   ,4091899,0," $ 10,356.35 ", $ -   ,0,0, $ -   , $ -   ,3265150,0," $ 7,408.61 ", $ -   ,6828787,0," $ 16,176.95 ", $ -   ,919913,0," $ 1,879.60 ", $ -   ,10491753,10013724," $ 27,295.22 "," $ 26,868.77 "
3/24/2016,4250370,0," $ 12,581.86 ", $ -   ,3006383,0," $ 8,017.12 ", $ -   ,0,0, $ -   , $ -   ,2483357,0," $ 5,777.52 ", $ -   ,5301342,0," $ 12,671.47 ", $ -   ,648935,0," $ 1,399.19 ", $ -   ,9295918,8562791," $ 23,804.30 "," $ 22,412.17 "
3/25/2016,2722528,0," $ 8,544.24 ", $ -   ,1819097,0," $ 5,075.44 ", $ -   ,0,0, $ -   , $ -   ,1822627,0," $ 4,443.59 ", $ -   ,3361707,0," $ 8,674.31 ", $ -   ,430479,0," $ 1,081.93 ", $ -   ,6277201,5777602," $ 16,909.17 "," $ 15,890.01 "
3/26/2016,2127587,0," $ 6,763.39 ", $ -   ,1639309,0," $ 4,731.16 ", $ -   ,0,0, $ -   , $ -   ,1081755,0," $ 2,982.56 ", $ -   ,2851629,0," $ 7,716.47 ", $ -   ,268228,0, $ 735.79 , $ -   ,5075833,4806229," $ 14,298.32 "," $ 13,738.90 "
3/27/2016,3442448,0," $ 10,635.97 ", $ -   ,3012872,0," $ 8,476.53 ", $ -   ,0,0, $ -   , $ -   ,2348150,0," $ 5,893.92 ", $ -   ,5003316,0," $ 12,753.56 ", $ -   ,527601,0," $ 1,320.81 ", $ -   ,7747741,7848286," $ 18,136.97 "," $ 19,023.23 "
3/28/2016,4667217,0," $ 14,368.30 ", $ -   ,3775444,0," $ 10,327.33 ", $ -   ,0,0, $ -   , $ -   ,3882187,0," $ 8,559.41 ", $ -   ,7031177,0," $ 16,096.75 ", $ -   ,1054540,0," $ 2,209.16 ", $ -   ,9753448,9282670," $ 22,579.89 "," $ 22,373.52 "
3/29/2016,4608444,0," $ 14,352.54 ", $ -   ,3782449,0," $ 10,465.28 ", $ -   ,0,0, $ -   , $ -   ,3914077,0," $ 8,790.26 ", $ -   ,7675841,0," $ 18,277.52 ", $ -   ,1180538,0," $ 2,458.04 ", $ -   ,9352057,8708373," $ 23,068.51 "," $ 22,437.48 "
3/30/2016,4755368,0," $ 14,627.02 ", $ -   ,4086919,0," $ 11,363.84 ", $ -   ,0,0, $ -   , $ -   ,3919020,0," $ 9,474.77 ", $ -   ,9091269,0," $ 22,078.34 ", $ -   ,1219994,0," $ 2,561.99 ", $ -   ,8765092,8321509," $ 20,544.77 "," $ 20,398.19 "
3/31/2016,4089104,0," $ 12,652.55 ", $ -   ,3740195,0," $ 10,334.80 ", $ -   ,0,0, $ -   , $ -   ,4256175,0," $ 9,440.39 ", $ -   ,7733990,0," $ 18,215.38 ", $ -   ,1118832,0," $ 2,309.43 ", $ -   ,8523480,8037182," $ 21,345.63 "," $ 20,939.73 "
4/1/2016,1786531,0," $ 4,963.65 ", $ -   ,2244302,0," $ 6,252.32 ", $ -   ,0,0, $ -   , $ -   ,1777942,0," $ 4,549.58 ", $ -   ,4614880,0," $ 10,187.11 ", $ -   ,573757,0," $ 1,184.17 ", $ -   ,6036135,5300681," $ 14,678.72 "," $ 13,249.72 "
4/2/2016,1487342,0," $ 4,004.14 ", $ -   ,1633820,0," $ 4,634.72 ", $ -   ,0,0, $ -   , $ -   ,804916,0," $ 2,514.27 ", $ -   ,3099700,0," $ 7,339.82 ", $ -   ,328362,0, $ 812.42 , $ -   ,3927772,3724096," $ 9,775.38 "," $ 9,454.78 "
4/3/2016,2689516,0," $ 6,726.86 ", $ -   ,3454429,0," $ 9,729.34 ", $ -   ,0,0, $ -   , $ -   ,2179304,0," $ 6,351.99 ", $ -   ,7052977,0," $ 16,436.38 ", $ -   ,820821,0," $ 1,688.25 ", $ -   ,8493225,8750903," $ 21,232.91 "," $ 22,880.06 "
4/4/2016,4530345,0," $ 11,217.64 ", $ -   ,3682436,0," $ 10,201.75 ", $ -   ,0,0, $ -   , $ -   ,2960045,0," $ 7,696.85 ", $ -   ,8821045,0," $ 19,942.20 ", $ -   ,1103339,0," $ 2,312.03 ", $ -   ,10769495,10169998," $ 28,703.51 "," $ 28,421.86 "
4/5/2016,4460434,0," $ 11,373.77 ", $ -   ,3925122,0," $ 10,803.83 ", $ -   ,0,0, $ -   , $ -   ,3308872,0," $ 8,001.44 ", $ -   ,8803987,0," $ 19,378.55 ", $ -   ,1087775,0," $ 2,170.59 ", $ -   ,10273917,9658270," $ 27,342.94 "," $ 26,915.56 "
4/6/2016,4961671,0," $ 11,388.89 ", $ -   ,3449438,0," $ 9,397.25 ", $ -   ,0,0, $ -   , $ -   ,4062674,0," $ 9,521.97 ", $ -   ,8891391,0," $ 18,862.06 ", $ -   ,2292963,0," $ 4,458.01 ", $ -   ,9717742,9249316," $ 25,057.15 "," $ 24,642.67 "
4/7/2016,3919819,0," $ 10,028.91 ", $ -   ,3776395,0," $ 10,371.89 ", $ -   ,0,0, $ -   , $ -   ,6124375,0," $ 13,335.64 ", $ -   ,7940379,0," $ 17,281.88 ", $ -   ,2479987,0," $ 4,694.41 ", $ -   ,11039555,10552938," $ 28,641.34 "," $ 28,224.63 "
4/8/2016,2934450,0," $ 7,982.97 ", $ -   ,2666527,0," $ 7,337.33 ", $ -   ,0,0, $ -   , $ -   ,3943365,0," $ 9,098.38 ", $ -   ,5251700,0," $ 12,047.87 ", $ -   ,1801589,0," $ 3,694.57 ", $ -   ,7046592,6371948," $ 18,501.46 "," $ 17,395.42 "
4/9/2016,2193102,0," $ 6,197.54 ", $ -   ,1985290,0," $ 5,609.44 ", $ -   ,0,0, $ -   , $ -   ,2262616,0," $ 6,052.12 ", $ -   ,3042171,0," $ 7,824.54 ", $ -   ,1084705,0," $ 2,602.83 ", $ -   ,4081196,3921417," $ 11,232.92 "," $ 11,075.16 "
4/10/2016,4410539,0," $ 11,790.74 ", $ -   ,4217804,0," $ 11,737.52 ", $ -   ,0,0, $ -   , $ -   ,5267096,0," $ 13,283.36 ", $ -   ,7012361,0," $ 17,384.19 ", $ -   ,2372076,0," $ 4,954.18 ", $ -   ,8538494,8856896," $ 22,560.90 "," $ 24,107.93 "
4/11/2016,5547462,0," $ 15,764.25 ", $ -   ,3929195,0," $ 10,766.08 ", $ -   ,0,0, $ -   , $ -   ,6511507,0," $ 15,420.31 ", $ -   ,9114655,0," $ 20,847.94 ", $ -   ,2864156,0," $ 5,120.93 ", $ -   ,10949412,10446700," $ 27,540.98 "," $ 26,925.97 "
4/12/2016,4879816,0," $ 13,530.79 ", $ -   ,3777599,0," $ 10,414.29 ", $ -   ,0,0, $ -   , $ -   ,6409379,0," $ 15,609.32 ", $ -   ,8109605,0," $ 18,891.23 ", $ -   ,2434283,0," $ 4,404.35 ", $ -   ,8605290,8075921," $ 20,703.64 "," $ 19,693.62 "
4/13/2016,5141987,0," $ 14,049.36 ", $ -   ,4101074,0," $ 11,346.45 ", $ -   ,0,0, $ -   , $ -   ,7808231,0," $ 18,048.56 ", $ -   ,9165632,0," $ 21,280.78 ", $ -   ,2730901,0," $ 4,991.90 ", $ -   ,8697068,8328611," $ 18,308.85 "," $ 18,106.31 "
4/14/2016,5279717,0," $ 14,567.38 ", $ -   ,4246293,0," $ 11,775.02 ", $ -   ,0,0, $ -   , $ -   ,7770206,0," $ 17,403.11 ", $ -   ,8931545,0," $ 19,631.48 ", $ -   ,2945012,0," $ 5,033.15 ", $ -   ,8468140,7898341," $ 18,132.14 "," $ 17,409.54 "
4/15/2016,3912773,0," $ 10,904.69 ", $ -   ,3214865,0," $ 9,022.16 ", $ -   ,0,0, $ -   , $ -   ,6443691,0," $ 13,532.20 ", $ -   ,6862248,0," $ 14,178.47 ", $ -   ,2291012,0," $ 3,921.38 ", $ -   ,6872628,6217561," $ 13,835.97 "," $ 12,785.93 "
4/16/2016,2262058,0," $ 6,769.11 ", $ -   ,2697194,0," $ 7,949.89 ", $ -   ,0,0, $ -   , $ -   ,3317167,0," $ 8,261.32 ", $ -   ,3318319,0," $ 8,523.88 ", $ -   ,1026192,0," $ 2,297.76 ", $ -   ,3808307,3602539," $ 8,208.10 "," $ 7,973.08 "
4/17/2016,4573767,0," $ 12,869.77 ", $ -   ,5660602,0," $ 16,192.48 ", $ -   ,0,0, $ -   , $ -   ,8129852,0," $ 18,691.78 ", $ -   ,8025212,0," $ 18,461.96 ", $ -   ,2556346,0," $ 4,811.13 ", $ -   ,8374158,8698711," $ 17,181.99 "," $ 18,489.13 "
4/18/2016,7474581,0," $ 18,558.03 ", $ -   ,5041193,0," $ 13,940.25 ", $ -   ,0,0, $ -   , $ -   ,9489397,0," $ 19,408.06 ", $ -   ,13901125,0," $ 26,136.40 ", $ -   ,2827900,0," $ 4,653.90 ", $ -   ,13054691,12530732," $ 25,290.90 "," $ 24,944.02 "
4/19/2016,7230713,0," $ 20,375.08 ", $ -   ,4277621,0," $ 11,859.08 ", $ -   ,0,0, $ -   , $ -   ,6946304,0," $ 15,005.05 ", $ -   ,12184491,0," $ 24,570.38 ", $ -   ,1744243,0," $ 2,909.57 ", $ -   ,13216124,12467466," $ 25,333.12 "," $ 24,709.41 "
4/20/2016,6862401,0," $ 19,290.29 ", $ -   ,4234352,0," $ 11,728.19 ", $ -   ,0,0, $ -   , $ -   ,5556742,0," $ 14,182.37 ", $ -   ,10553373,0," $ 22,329.11 ", $ -   ,1189546,0," $ 2,543.70 ", $ -   ,11173762,10726215," $ 23,461.47 "," $ 23,134.55 "
4/21/2016,6731612,0," $ 18,484.63 ", $ -   ,4051027,0," $ 11,118.83 ", $ -   ,0,0, $ -   , $ -   ,5534912,0," $ 13,944.00 ", $ -   ,10441542,0," $ 21,999.22 ", $ -   ,2105687,0," $ 3,946.28 ", $ -   ,9973498,9139833," $ 20,388.38 "," $ 19,080.13 "
4/22/2016,3390772,0," $ 10,113.23 ", $ -   ,2841970,0," $ 7,825.32 ", $ -   ,0,0, $ -   , $ -   ,3579074,0," $ 9,296.91 ", $ -   ,6596105,0," $ 15,127.80 ", $ -   ,1906924,0," $ 3,855.71 ", $ -   ,6667632,5828620," $ 14,353.47 "," $ 12,832.34 "
4/23/2016,2310185,0," $ 7,100.75 ", $ -   ,1716010,0," $ 4,956.33 ", $ -   ,0,0, $ -   , $ -   ,1979571,0," $ 5,869.87 ", $ -   ,3577970,0," $ 9,780.40 ", $ -   ,971339,0," $ 2,366.03 ", $ -   ,3641902,3430574," $ 8,722.29 "," $ 8,484.30 "
4/24/2016,5027160,0," $ 14,361.20 ", $ -   ,3876609,0," $ 10,875.37 ", $ -   ,0,0, $ -   , $ -   ,4912107,0," $ 13,364.04 ", $ -   ,8652049,0," $ 21,342.58 ", $ -   ,1967177,0," $ 4,161.75 ", $ -   ,7393417,7540047," $ 16,492.05 "," $ 17,516.16 "
4/25/2016,6364694,0," $ 18,041.46 ", $ -   ,4071823,0," $ 11,134.92 ", $ -   ,0,0, $ -   , $ -   ,6140009,0," $ 15,353.56 ", $ -   ,11293420,0," $ 25,109.25 ", $ -   ,2871905,0," $ 5,298.83 ", $ -   ,9067547,8416338," $ 20,048.79 "," $ 19,245.17 "
4/26/2016,5510162,0," $ 16,330.58 ", $ -   ,3533200,0," $ 9,631.52 ", $ -   ,0,0, $ -   , $ -   ,6388002,0," $ 16,486.59 ", $ -   ,9246239,0," $ 21,494.62 ", $ -   ,3562975,0," $ 6,971.98 ", $ -   ,9518492,9176502," $ 21,632.01 "," $ 21,522.64 "
4/27/2016,5441949,0," $ 16,567.68 ", $ -   ,3117590,0," $ 8,617.16 ", $ -   ,58636,0, $ 54.18 , $ -   ,6456613,0," $ 17,170.17 ", $ -   ,7831547,0," $ 19,999.92 ", $ -   ,3029276,0," $ 6,489.83 ", $ -   ,10502404,9732265," $ 25,152.77 "," $ 24,040.40 "
4/28/2016,5517650,0," $ 17,357.40 ", $ -   ,2906823,0," $ 8,077.10 ", $ -   ,176540,0, $ 180.28 , $ -   ,6204476,0," $ 16,337.05 ", $ -   ,7451510,0," $ 19,257.99 ", $ -   ,2620158,0," $ 6,124.85 ", $ -   ,9455014,8840291," $ 22,571.12 "," $ 21,499.11 "
4/29/2016,3475865,0," $ 11,219.58 ", $ -   ,2119846,0," $ 5,963.04 ", $ -   ,159430,0, $ 194.47 , $ -   ,3995516,0," $ 10,788.22 ", $ -   ,4912215,0," $ 12,770.28 ", $ -   ,1679044,0," $ 4,284.46 ", $ -   ,6412344,5559555," $ 15,326.40 "," $ 13,598.91 "
4/30/2016,1714527,0," $ 5,350.07 ", $ -   ,1129673,0," $ 3,313.68 ", $ -   ,171348,0, $ 407.98 , $ -   ,2171068,0," $ 5,799.45 ", $ -   ,2294182,0," $ 6,675.38 ", $ -   ,835170,0," $ 2,342.13 ", $ -   ,3197881,2997947," $ 8,444.46 "," $ 8,141.43 "
5/1/2016,2909811,0," $ 7,916.30 ", $ -   ,2541570,0," $ 7,046.57 ", $ -   ,401633,0, $ 860.81 , $ -   ,4203693,0," $ 11,667.58 ", $ -   ,5802832,0," $ 15,294.03 ", $ -   ,1824125,0," $ 3,901.49 ", $ -   ,7292013,7664674," $ 16,832.88 "," $ 18,030.01 "
5/2/2016,3994100,0," $ 10,311.42 ", $ -   ,2711000,0," $ 7,364.35 ", $ -   ,2927624,0," $ 5,672.80 ", $ -   ,5351706,0," $ 13,996.22 ", $ -   ,7690803,0," $ 17,953.27 ", $ -   ,2702950,0," $ 5,050.84 ", $ -   ,9458622,8678327," $ 21,097.75 "," $ 19,850.04 "
5/3/2016,4087581,0," $ 10,777.71 ", $ -   ,2545895,0," $ 7,017.69 ", $ -   ,4508423,0," $ 8,847.23 ", $ -   ,4604051,0," $ 12,154.08 ", $ -   ,6683713,0," $ 15,903.35 ", $ -   ,2220373,0," $ 4,134.10 ", $ -   ,7909790,7399065," $ 17,961.07 "," $ 17,281.73 "
5/4/2016,3791777,0," $ 9,698.42 ", $ -   ,2625941,0," $ 6,601.02 ", $ -   ,4280327,0," $ 8,767.89 ", $ -   ,5083789,0," $ 14,282.08 ", $ -   ,6549915,0," $ 15,886.85 ", $ -   ,2240630,0," $ 3,838.24 ", $ -   ,7630770,7195579," $ 17,834.50 "," $ 17,675.96 "
5/5/2016,3907551,0," $ 10,488.91 ", $ -   ,2538258,0," $ 6,142.24 ", $ -   ,4166099,0," $ 8,832.11 ", $ -   ,5004112,0," $ 15,437.55 ", $ -   ,5915031,0," $ 14,552.70 ", $ -   ,2068513,0," $ 3,679.59 ", $ -   ,7312282,6732898," $ 17,220.79 "," $ 16,514.32 "
5/6/2016,2524396,0," $ 7,161.89 ", $ -   ,1844408,0," $ 4,480.79 ", $ -   ,2777901,0," $ 6,361.73 ", $ -   ,3381764,0," $ 11,213.63 ", $ -   ,4095266,0," $ 10,375.60 ", $ -   ,1382560,0," $ 2,996.80 ", $ -   ,5211281,4538306," $ 12,777.57 "," $ 11,576.71 "
5/7/2016,1600503,0," $ 4,792.96 ", $ -   ,1012085,0," $ 2,557.60 ", $ -   ,1382412,0," $ 3,773.54 ", $ -   ,1825857,0," $ 6,580.54 ", $ -   ,1947276,0," $ 5,541.28 ", $ -   ,576526,0," $ 1,608.08 ", $ -   ,2582330,2395374," $ 6,778.77 "," $ 6,453.48 "
5/8/2016,2658845,0," $ 7,591.23 ", $ -   ,2033736,0," $ 5,106.58 ", $ -   ,2796687,0," $ 6,961.65 ", $ -   ,3382860,0," $ 11,760.34 ", $ -   ,3996572,0," $ 10,723.08 ", $ -   ,1102785,0," $ 2,726.84 ", $ -   ,5053576,5269133," $ 12,707.96 "," $ 13,770.04 "
5/9/2016,3656150,0," $ 9,712.80 ", $ -   ,2346378,0," $ 5,596.84 ", $ -   ,3903523,0," $ 9,091.62 ", $ -   ,4473006,0," $ 14,438.38 ", $ -   ,5728688,0," $ 13,674.87 ", $ -   ,1986747,0," $ 3,757.08 ", $ -   ,7063490,6581979," $ 17,290.02 "," $ 16,510.71 "
5/10/2016,3132470,0," $ 8,433.05 ", $ -   ,1758123,0," $ 4,360.79 ", $ -   ,2288441,0," $ 5,133.60 ", $ -   ,3962088,0," $ 12,743.93 ", $ -   ,4799997,0," $ 11,615.40 ", $ -   ,1483250,0," $ 3,078.22 ", $ -   ,6830087,6318935," $ 16,836.33 "," $ 16,018.11 "
5/11/2016,3305617,0," $ 9,139.41 ", $ -   ,1536958,0," $ 3,886.15 ", $ -   ,843602,0," $ 1,696.27 ", $ -   ,3881270,0," $ 12,574.73 ", $ -   ,4468502,0," $ 10,486.91 ", $ -   ,1371029,0," $ 2,917.79 ", $ -   ,6416339,5871383," $ 15,264.78 "," $ 14,479.30 "
5/12/2016,3215812,0," $ 9,338.83 ", $ -   ,1423767,0," $ 3,445.39 ", $ -   ,2685874,0," $ 5,012.15 ", $ -   ,3942250,0," $ 12,084.96 ", $ -   ,4149873,0," $ 9,382.49 ", $ -   ,1149536,0," $ 2,582.50 ", $ -   ,6216246,5705439," $ 14,825.18 "," $ 14,045.64 "
5/13/2016,2152765,0," $ 6,304.42 ", $ -   ,1002638,0," $ 2,394.27 ", $ -   ,3029335,0," $ 5,940.63 ", $ -   ,2763556,0," $ 7,773.26 ", $ -   ,3006227,0," $ 6,809.77 ", $ -   ,707262,0," $ 1,694.56 ", $ -   ,4189627,3538492," $ 10,072.05 "," $ 8,761.13 "
5/14/2016,1335646,0," $ 4,217.49 ", $ -   ,577559,0," $ 1,463.52 ", $ -   ,1566454,0," $ 3,321.82 ", $ -   ,1447309,0," $ 4,810.95 ", $ -   ,1435737,0," $ 3,871.54 ", $ -   ,348965,0," $ 1,055.32 ", $ -   ,1945392,1760319," $ 5,333.83 "," $ 4,998.73 "
5/15/2016,2632006,0," $ 7,566.00 ", $ -   ,1259740,0," $ 3,067.63 ", $ -   ,3199728,0," $ 6,515.51 ", $ -   ,2928177,0," $ 8,104.83 ", $ -   ,3167292,0," $ 7,662.51 ", $ -   ,801623,0," $ 1,969.38 ", $ -   ,4224705,4260277," $ 10,725.49 "," $ 11,364.74 "
5/16/2016,3393110,0," $ 10,278.79 ", $ -   ,1258123,0," $ 3,074.84 ", $ -   ,4272218,0," $ 9,173.60 ", $ -   ,3399799,0," $ 8,603.00 ", $ -   ,4193573,0," $ 9,061.85 ", $ -   ,1110151,0," $ 2,396.83 ", $ -   ,5314182,4717566," $ 13,347.57 "," $ 12,264.08 "
5/17/2016,3075793,0," $ 9,561.21 ", $ -   ,1092621,0," $ 2,764.97 ", $ -   ,3593631,0," $ 7,882.29 ", $ -   ,3157310,0," $ 7,737.91 ", $ -   ,4474434,0," $ 9,956.03 ", $ -   ,1055688,0," $ 2,262.60 ", $ -   ,4538020,4183892," $ 11,651.38 "," $ 11,205.86 "
5/18/2016,2935268,0," $ 8,622.58 ", $ -   ,1299854,0," $ 3,281.32 ", $ -   ,2856404,0," $ 6,019.98 ", $ -   ,3096173,0," $ 7,707.07 ", $ -   ,4761637,0," $ 10,677.29 ", $ -   ,1154713,0," $ 2,622.49 ", $ -   ,4689608,4341096," $ 12,045.56 "," $ 11,522.08 "
5/19/2016,2825470,0," $ 8,542.46 ", $ -   ,1311192,0," $ 3,301.98 ", $ -   ,3198751,0," $ 6,338.43 ", $ -   ,3192708,0," $ 8,008.31 ", $ -   ,3983505,0," $ 8,721.25 ", $ -   ,1159819,0," $ 2,655.79 ", $ -   ,4685821,4329568," $ 11,437.02 "," $ 11,004.51 "
5/20/2016,2033959,0," $ 6,531.56 ", $ -   ,975424,0," $ 2,482.87 ", $ -   ,1923373,0," $ 4,360.24 ", $ -   ,2365171,0," $ 6,098.24 ", $ -   ,2803175,0," $ 6,477.42 ", $ -   ,820877,0," $ 1,926.87 ", $ -   ,3363272,2838863," $ 8,280.20 "," $ 7,189.61 "
5/21/2016,1275360,0," $ 4,452.33 ", $ -   ,624173,0," $ 1,623.54 ", $ -   ,975762,0," $ 2,635.87 ", $ -   ,1204612,0," $ 3,594.53 ", $ -   ,1451858,0," $ 4,025.84 ", $ -   ,443757,0," $ 1,304.35 ", $ -   ,1648369,1506310," $ 4,568.91 "," $ 4,342.84 "
5/22/2016,2922142,0," $ 9,556.97 ", $ -   ,1322111,0," $ 3,472.26 ", $ -   ,2151706,0," $ 5,151.14 ", $ -   ,2794922,0," $ 7,898.72 ", $ -   ,3199137,0," $ 8,682.56 ", $ -   ,995893,0," $ 2,588.52 ", $ -   ,3586953,3615962," $ 9,364.80 "," $ 9,937.26 "
5/23/2016,3105297,0," $ 9,736.06 ", $ -   ,1447157,0," $ 3,670.41 ", $ -   ,2560069,0," $ 5,908.34 ", $ -   ,3300288,0," $ 8,908.03 ", $ -   ,4152330,0," $ 9,958.86 ", $ -   ,1328057,0," $ 3,009.91 ", $ -   ,4814706,4395258," $ 12,137.54 "," $ 11,523.13 "
5/24/2016,2902000,0," $ 9,019.82 ", $ -   ,1204103,0," $ 3,029.54 ", $ -   ,2452493,0," $ 5,573.02 ", $ -   ,3018688,0," $ 8,227.80 ", $ -   ,3521096,0," $ 8,444.42 ", $ -   ,1411629,0," $ 2,959.45 ", $ -   ,4759471,4278105," $ 11,451.92 "," $ 10,740.99 "
5/25/2016,3159269,0," $ 10,076.63 ", $ -   ,1289612,0," $ 3,245.53 ", $ -   ,2442013,0," $ 5,706.88 ", $ -   ,2706719,0," $ 7,444.33 ", $ -   ,3379828,0," $ 8,437.44 ", $ -   ,1342402,0," $ 3,027.38 ", $ -   ,4739432,4404277," $ 11,472.29 "," $ 11,412.04 "
